team,avg.no.drives,avg.no.plays,percentpass,no.yards.per.drive,no.yards.per.play,def_avg.no.drives,def_avg.no.plays,def_percentpass,def_no.yards.per.drive,def_no.yards.per.play,rank_avg.no.drives,rank_avg.no.plays,rank_percentpass,rank_no.yards.per.drive,rank_no.yards.per.play,rank_def_avg.no.drives,rank_def_avg.no.plays,rank_def_percentpass,rank_def_no.yards.per.drive,rank_def_no.yards.per.play
ARI,11.1875,6.21787709497207,0.615453728661276,34.3743016759777,5.52830188679245,11.1875,6.1340782122905,0.635701275045537,31.4581005586592,5.12841530054645,0.32258064516129,0.806451612903226,0.387096774193548,0.709677419354839,0.580645161290323,0.290322580645161,0.612903225806452,0.709677419354839,0.387096774193548,0.225806451612903
ATL,11,6.3125,0.64986498649865,33.5056818181818,5.30783078307831,11.0625,6.0225988700565,0.672607879924953,36.0338983050848,5.98311444652908,0.193548387096774,0.935483870967742,0.67741935483871,0.580645161290323,0.419354838709677,0.225806451612903,0.483870967741936,0.967741935483871,0.806451612903226,0.870967741935484
BAL,12.25,5.86224489795918,0.510879025239339,33.4438775510204,5.70496083550914,12,6.046875,0.664944013781223,29.7552083333333,4.9207579672696,0.774193548387097,0.419354838709677,0,0.516129032258065,0.709677419354839,0.67741935483871,0.548387096774194,0.903225806451613,0.225806451612903,0.129032258064516
BUF,13.0625,5.95215311004785,0.67604501607717,35.0382775119617,5.88665594855306,12.5625,6.35820895522388,0.635367762128325,34.3432835820896,5.40140845070423,0.935483870967742,0.483870967741936,0.870967741935484,0.806451612903226,0.870967741935484,0.806451612903226,0.870967741935484,0.67741935483871,0.67741935483871,0.516129032258065
CAR,10.25,6.23780487804878,0.642228739002933,34.109756097561,5.46823069403715,10.125,6.39506172839506,0.641891891891892,35.5740740740741,5.56274131274131,0.032258064516129,0.870967741935484,0.612903225806452,0.67741935483871,0.548387096774194,0.032258064516129,0.935483870967742,0.806451612903226,0.774193548387097,0.645161290322581
CHI,11.8125,5.86243386243386,0.652527075812274,29.3386243386243,5.00451263537906,12,5.88020833333333,0.609388839681134,30.75,5.22940655447299,0.612903225806452,0.451612903225806,0.709677419354839,0.258064516129032,0.161290322580645,0.67741935483871,0.354838709677419,0.258064516129032,0.258064516129032,0.290322580645161
CIN,11.1875,5.9608938547486,0.63730084348641,28.5307262569832,4.7863167760075,11.375,5.73076923076923,0.588686481303931,34.2142857142857,5.97027804410355,0.32258064516129,0.516129032258065,0.548387096774194,0.161290322580645,0.0967741935483871,0.354838709677419,0.258064516129032,0.225806451612903,0.645161290322581,0.838709677419355
CLE,11.8125,6.2010582010582,0.560580204778157,35,5.64419795221843,11.875,6.39473684210526,0.651851851851852,35.4631578947368,5.54567901234568,0.612903225806452,0.741935483870968,0.0967741935483871,0.774193548387097,0.67741935483871,0.645161290322581,0.903225806451613,0.870967741935484,0.741935483870968,0.580645161290323
DAL,11.5,6.20652173913044,0.640105078809107,32.375,5.21628721541156,11.625,5.88172043010753,0.56855575868373,33.2849462365591,5.65904936014625,0.451612903225806,0.774193548387097,0.580645161290323,0.451612903225806,0.32258064516129,0.516129032258065,0.387096774193548,0.0645161290322581,0.516129032258065,0.709677419354839
DEN,11.9375,5.56544502617801,0.613358419567263,28.130890052356,5.05456255879586,11.8125,5.67724867724868,0.624417520969245,31.1587301587302,5.4883504193849,0.67741935483871,0.032258064516129,0.354838709677419,0.129032258064516,0.193548387096774,0.580645161290323,0.225806451612903,0.483870967741936,0.32258064516129,0.548387096774194
DET,10.75,6.01744186046512,0.657971014492754,32.5988372093023,5.41739130434783,10.875,6.31034482758621,0.581967213114754,38.6551724137931,6.12568306010929,0.129032258064516,0.580645161290323,0.774193548387097,0.483870967741936,0.451612903225806,0.161290322580645,0.806451612903226,0.129032258064516,0.967741935483871,0.967741935483871
GNB,11.6875,6.19251336898396,0.603626943005181,37.9304812834225,6.12521588946459,11.375,6.24175824175824,0.628521126760563,32.6978021978022,5.23855633802817,0.516129032258065,0.709677419354839,0.32258064516129,0.967741935483871,0.935483870967742,0.354838709677419,0.67741935483871,0.612903225806452,0.451612903225806,0.32258064516129
HOU,10.4375,5.79640718562874,0.709710743801653,35.9640718562874,6.20454545454545,10.75,6.31976744186047,0.56853725850966,38.8023255813954,6.13983440662374,0.0645161290322581,0.258064516129032,1,0.903225806451613,1,0.129032258064516,0.838709677419355,0.032258064516129,1,1
IND,11.75,6.07446808510638,0.574430823117338,34.7287234042553,5.71716287215412,11.4375,5.89617486338798,0.645041705282669,31.2295081967213,5.29657089898054,0.580645161290323,0.645161290322581,0.193548387096774,0.741935483870968,0.741935483870968,0.451612903225806,0.419354838709677,0.838709677419355,0.354838709677419,0.354838709677419
JAC,11.0625,5.83050847457627,0.692829457364341,29.5141242937853,5.06201550387597,11.5625,5.9027027027027,0.563186813186813,36.1351351351351,6.12179487179487,0.225806451612903,0.387096774193548,0.967741935483871,0.290322580645161,0.225806451612903,0.483870967741936,0.451612903225806,0,0.838709677419355,0.935483870967742
KAN,12.375,6.47979797979798,0.685113016367888,39.8282828282828,6.14653156664069,12.5625,6.27363184079602,0.631245043616178,33.5621890547264,5.34972244250595,0.806451612903226,1,0.935483870967742,1,0.967741935483871,0.806451612903226,0.741935483870968,0.645161290322581,0.548387096774194,0.419354838709677
LAC,11.25,6.43333333333333,0.623488773747841,33.9555555555556,5.27806563039724,11.0625,5.77966101694915,0.616813294232649,31.0790960451977,5.37732160312805,0.419354838709677,0.967741935483871,0.451612903225806,0.645161290322581,0.387096774193548,0.225806451612903,0.290322580645161,0.32258064516129,0.290322580645161,0.451612903225806
LAR,13.375,5.70093457943925,0.590983606557377,30.9018691588785,5.42049180327869,13.125,5.46666666666667,0.636759581881533,25.1095238095238,4.59320557491289,0.967741935483871,0.129032258064516,0.225806451612903,0.32258064516129,0.483870967741936,0.967741935483871,0.0967741935483871,0.741935483870968,0,0
LVR,10.75,6.22093023255814,0.599065420560748,35.6686046511628,5.73364485981308,10.6875,6.28070175438597,0.618249534450652,36.4502923976608,5.80353817504656,0.129032258064516,0.838709677419355,0.290322580645161,0.870967741935484,0.774193548387097,0.0967741935483871,0.774193548387097,0.354838709677419,0.903225806451613,0.806451612903226
MIA,11.625,5.6505376344086,0.628924833491912,29.2043010752688,5.16841103710752,11.625,5.47311827956989,0.62671905697446,31.6451612903226,5.7819253438114,0.483870967741936,0.0967741935483871,0.483870967741936,0.225806451612903,0.290322580645161,0.516129032258065,0.129032258064516,0.548387096774194,0.419354838709677,0.774193548387097
MIN,11.0625,6.06779661016949,0.569832402234637,35.6384180790961,5.87337057728119,10.875,6.04597701149425,0.582699619771863,36.1954022988506,5.98669201520913,0.225806451612903,0.612903225806452,0.161290322580645,0.838709677419355,0.838709677419355,0.161290322580645,0.516129032258065,0.161290322580645,0.870967741935484,0.903225806451613
NOR,12.4375,6.00502512562814,0.563179916317992,33.678391959799,5.60836820083682,12.75,5.6421568627451,0.637706342311034,27.0980392156863,4.80278019113814,0.838709677419355,0.548387096774194,0.129032258064516,0.612903225806452,0.645161290322581,0.870967741935484,0.193548387096774,0.774193548387097,0.129032258064516,0.032258064516129
NWE,10.1875,6.11656441717791,0.527582748244734,32.1349693251534,5.25376128385156,10,6.25625,0.579420579420579,35.4,5.65834165834166,0,0.67741935483871,0.032258064516129,0.419354838709677,0.354838709677419,0,0.709677419354839,0.0967741935483871,0.709677419354839,0.67741935483871
NYG,10.6875,5.81286549707602,0.634808853118712,28.0584795321637,4.82696177062374,10.375,6.46987951807229,0.624767225325885,33.6807228915663,5.20577281191806,0.0967741935483871,0.32258064516129,0.516129032258065,0.0967741935483871,0.129032258064516,0.0645161290322581,0.967741935483871,0.516129032258065,0.580645161290323,0.258064516129032
NYJ,11.1875,5.46927374301676,0.621041879468846,25.0335195530726,4.57711950970378,11.375,6.12637362637363,0.619730941704036,34.0714285714286,5.56143497757848,0.32258064516129,0,0.419354838709677,0,0,0.354838709677419,0.580645161290323,0.419354838709677,0.612903225806452,0.612903225806452
PHI,12.0625,5.81347150259067,0.674688057040998,27.8134715025907,4.7843137254902,12.25,5.5,0.583487940630798,29.5969387755102,5.38126159554731,0.709677419354839,0.354838709677419,0.838709677419355,0.0645161290322581,0.0645161290322581,0.774193548387097,0.161290322580645,0.193548387096774,0.193548387096774,0.483870967741936
PIT,12.9375,5.63285024154589,0.682675814751287,28.5652173913044,5.07118353344769,12.75,5.33333333333333,0.619485294117647,25.9166666666667,4.859375,0.903225806451613,0.0645161290322581,0.903225806451613,0.193548387096774,0.258064516129032,0.870967741935484,0,0.387096774193548,0.032258064516129,0.0645161290322581
SEA,12.125,5.71134020618557,0.666064981949459,31.9175257731959,5.5884476534296,12.1875,6.18974358974359,0.670256835128418,32.9641025641026,5.32560066280033,0.741935483870968,0.161290322580645,0.806451612903226,0.387096774193548,0.612903225806452,0.741935483870968,0.645161290322581,0.935483870967742,0.483870967741936,0.387096774193548
SFO,11.6875,5.80748663101604,0.594843462246777,31.6791443850267,5.4548802946593,11.8125,5.36507936507937,0.624260355029586,26.6243386243386,4.96252465483235,0.516129032258065,0.290322580645161,0.258064516129032,0.354838709677419,0.516129032258065,0.580645161290323,0.032258064516129,0.451612903225806,0.0967741935483871,0.161290322580645
TAM,14.3125,5.71615720524018,0.646294881588999,33.4454148471616,5.85103132161956,14.25,5.84649122807018,0.697674418604651,29.1052631578947,4.97824456114029,1,0.193548387096774,0.645161290322581,0.548387096774194,0.806451612903226,1,0.32258064516129,1,0.161290322580645,0.193548387096774
TEN,11.125,6.24719101123596,0.528776978417266,36.8539325842697,5.89928057553957,11.1875,6.5586592178771,0.627768313458262,37.8491620111732,5.77086882453152,0.290322580645161,0.903225806451613,0.0645161290322581,0.935483870967742,0.903225806451613,0.290322580645161,1,0.580645161290323,0.935483870967742,0.741935483870968
WAS,12.4375,5.75376884422111,0.656768558951965,27.391959798995,4.76069868995633,12.8125,5.36585365853659,0.615454545454545,26.2536585365854,4.89272727272727,0.838709677419355,0.225806451612903,0.741935483870968,0.032258064516129,0.032258064516129,0.935483870967742,0.0645161290322581,0.290322580645161,0.0645161290322581,0.0967741935483871
